TrialNumber,T1Position,T2LagPosition,T1Target,T2Target,T1Response,T2Response,T1Correct,T2Correct
1,8,3,Y,S,Y,S,1,1
2,9,8,U,E,U,E,1,1
3,9,7,K,G,K,G,1,1
4,7,2,Q,K,Q,K,1,1
5,6,5,Q,E,Q,E,1,1
6,6,6,J,X,J,X,1,1
7,8,6,V,F,V,U,1,0
8,6,3,T,C,T,T,1,0
9,9,2,H,C,H,C,1,1
10,9,6,L,F,L,F,1,1
11,7,5,F,X,F,X,1,1
12,6,4,X,K,X,K,1,1
13,9,1,Q,J,Q,J,1,1
14,6,7,A,T,A,T,1,1
15,5,6,N,W,N,W,1,1
16,8,2,F,C,F,C,1,1
17,9,3,L,N,L,N,1,1
18,9,6,F,M,F,M,1,1
19,7,1,A,Y,Y,A,0,0
20,7,3,H,T,H,T,1,1
21,9,2,S,H,S,H,1,1
22,9,5,Q,A,Q,A,1,1
23,5,5,S,C,S,C,1,1
24,9,8,X,M,X,M,1,1
25,5,1,H,Q,Q,Q,0,1
26,8,6,T,F,T,F,1,1
27,7,3,U,Y,U,Y,1,1
28,6,3,A,M,A,M,1,1
29,8,5,L,R,L,R,1,1
30,7,7,H,C,H,C,1,1
31,8,5,M,Q,M,Q,1,1
32,9,1,U,D,D,U,0,0
33,9,4,N,A,N,A,1,1
34,5,3,J,Y,J,U,1,0
35,6,4,Y,A,Y,A,1,1
36,8,1,N,J,N,J,1,1
37,6,2,D,J,D,J,1,1
38,6,4,R,T,R,T,1,1
39,5,5,E,F,E,F,1,1
40,7,4,W,F,W,F,1,1
41,5,3,W,F,W,F,1,1
42,8,6,U,G,U,G,1,1
43,6,4,X,R,X,R,1,1
44,8,1,J,L,U,L,0,1
45,7,1,J,F,F,U,0,0
46,5,7,P,J,P,J,1,1
47,5,2,Q,K,Q,K,1,1
48,5,8,H,V,H,V,1,1
49,5,5,E,U,E,U,1,1
50,7,4,F,A,F,H,1,0
51,5,3,U,S,U,S,1,1
52,8,2,W,X,W,X,1,1
53,7,2,R,C,R,C,1,1
54,9,1,P,W,W,P,0,0
55,5,1,V,U,U,V,0,0
56,7,7,M,E,M,E,1,1
57,6,2,E,H,H,H,0,1
58,8,8,L,D,L,D,1,1
59,6,8,F,Q,F,Q,1,1
60,8,2,D,G,D,G,1,1
61,5,6,R,N,R,N,1,1
62,6,7,L,K,L,K,1,1
63,7,2,H,T,H,T,1,1
64,9,7,W,Y,W,Y,1,1
65,9,4,H,G,H,G,1,1
66,9,5,X,L,X,L,1,1
67,8,8,K,V,K,V,1,1
68,9,4,Q,L,Q,L,1,1
69,8,5,G,Q,G,Q,1,1
70,8,7,L,Y,L,Y,1,1
71,6,5,D,F,D,F,1,1
72,9,1,C,E,C,E,1,1
73,7,5,D,J,D,J,1,1
74,6,5,D,K,D,K,1,1
75,9,6,G,N,G,N,1,1
76,7,3,R,V,R,V,1,1
77,5,7,V,Y,V,Y,1,1
78,7,2,N,D,N,D,1,1
79,8,7,U,N,U,N,1,1
80,7,4,L,E,L,E,1,1
81,6,5,M,L,M,L,1,1
82,5,8,S,C,S,U,1,0
83,6,2,X,D,D,X,0,0
84,8,4,L,E,L,E,1,1
85,7,5,A,G,A,G,1,1
86,5,2,E,F,E,F,1,1
87,6,8,M,C,M,C,1,1
88,8,1,H,S,H,S,1,1
89,5,3,Q,V,Q,V,1,1
90,8,8,N,P,N,P,1,1
91,9,8,A,C,A,C,1,1
92,5,2,D,X,D,X,1,1
93,7,6,S,D,S,D,1,1
94,7,7,M,D,M,D,1,1
95,7,5,M,U,M,U,1,1
96,9,2,T,Y,T,Y,1,1
97,7,6,P,A,P,A,1,1
98,5,4,C,T,C,T,1,1
99,7,8,E,K,E,K,1,1
100,8,5,E,L,E,L,1,1
101,5,1,X,E,E,X,0,0
102,6,6,V,S,V,S,1,1
103,7,3,M,A,M,A,1,1
104,7,8,W,R,W,R,1,1
105,5,2,G,V,G,V,1,1
106,6,8,K,U,K,U,1,1
107,9,3,D,K,D,K,1,1
108,5,8,Q,A,Q,A,1,1
109,8,2,K,L,K,L,1,1
110,9,3,Q,F,Q,F,1,1
111,6,2,V,E,V,E,1,1
112,5,6,Y,R,Y,R,1,1
113,6,1,C,J,C,J,1,1
114,8,4,C,R,C,R,1,1
115,8,4,T,M,T,M,1,1
116,9,8,Y,A,Y,A,1,1
117,6,6,P,Q,P,Q,1,1
118,8,7,R,E,R,E,1,1
119,9,2,Q,T,Q,T,1,1
120,9,4,T,G,T,G,1,1
121,6,8,F,M,F,M,1,1
122,8,3,A,E,A,E,1,1
123,7,4,K,A,K,A,1,1
124,6,7,P,H,P,H,1,1
125,9,6,Y,G,Y,G,1,1
126,8,1,R,T,R,T,1,1
127,5,7,A,N,A,N,1,1
128,8,8,W,X,W,X,1,1
129,8,3,P,F,P,F,1,1
130,7,6,R,C,R,C,1,1
131,5,1,M,F,M,F,1,1
132,7,1,Q,U,Q,U,1,1
133,5,4,T,K,T,K,1,1
134,9,7,K,A,K,A,1,1
135,6,1,T,X,X,X,0,1
136,6,3,T,V,T,V,1,1
137,9,7,Y,M,Y,M,1,1
138,7,8,Q,N,Q,N,1,1
139,8,4,R,J,R,J,1,1
140,7,1,Q,U,U,Q,0,0
141,7,8,J,E,J,E,1,1
142,6,3,Y,K,Y,K,1,1
143,5,7,Q,G,Q,G,1,1
144,9,5,Q,S,Q,S,1,1
145,6,1,M,T,M,T,1,1
146,5,4,V,D,V,D,1,1
147,5,5,K,C,K,C,1,1
148,7,6,X,K,X,K,1,1
149,5,8,X,G,X,G,1,1
150,6,6,A,F,A,F,1,1
151,5,6,U,S,U,S,1,1
152,9,3,V,C,V,V,1,0
153,7,7,E,H,E,H,1,1
154,8,7,V,G,V,G,1,1
155,8,6,N,D,N,D,1,1
156,9,5,L,K,L,K,1,1
157,5,4,H,J,H,J,1,1
158,6,1,Q,V,V,Q,0,0
159,6,7,G,T,G,T,1,1
160,8,3,E,Q,E,Q,1,1
